Aggregate_Date,Platform,Country_ID,Download_MBPS,Upload_MBPS,Latency_MS,Jitter,Rank,Month,PrevMonth,Country_Name
2024-04-01,Fixed Broadband,79,388.20,373.86,10,10,1,2024-04,2024-03,Iceland
2024-04-01,Fixed Broadband,17,386.42,355.91,8,13,2,2024-04,2024-03,Singapore
2024-04-01,Fixed Broadband,28,378.18,275.12,19,16,3,2024-04,2024-03,France
2024-04-01,Fixed Broadband,91,357.70,281.91,10,14,4,2024-04,2024-03,Hong Kong (SAR)
2024-04-01,Fixed Broadband,115,348.71,217.86,9,15,5,2024-04,2024-03,Monaco
2024-04-01,Fixed Broadband,45,341.58,231.19,12,12,6,2024-04,2024-03,Switzerland
2024-04-01,Fixed Broadband,40,341.05,276.13,11,14,7,2024-04,2024-03,Chile
2024-04-01,Fixed Broadband,95,330.57,170.67,9,12,8,2024-04,2024-03,United Arab Emirates
2024-04-01,Fixed Broadband,12,318.68,243.84,11,12,9,2024-04,2024-03,Denmark
2024-04-01,Fixed Broadband,1,312.22,132.84,21,19,10,2024-04,2024-03,United States
2024-04-01,Fixed Broadband,78,311.56,190.31,21,14,11,2024-04,2024-03,Japan
2024-04-01,Fixed Broadband,88,306.66,55.15,28,38,12,2024-04,2024-03,China
2024-04-01,Fixed Broadband,9,305.53,253.85,10,12,13,2024-04,2024-03,Romania
2024-04-01,Fixed Broadband,23,301.73,242.40,10,12,14,2024-04,2024-03,Thailand
2024-04-01,Fixed Broadband,15,301.63,265.51,18,16,15,2024-04,2024-03,Spain
2024-04-01,Fixed Broadband,34,299.59,149.14,14,15,16,2024-04,2024-03,Hungary
2024-04-01,Fixed Broadband,32,297.84,79.71,12,15,17,2024-04,2024-03,Israel
2024-04-01,Fixed Broadband,7,296.76,159.10,17,18,18,2024-04,2024-03,Canada
2024-04-01,Fixed Broadband,155,291.71,256.15,5,5,19,2024-04,2024-03,Liechtenstein
2024-04-01,Fixed Broadband,136,282.49,172.86,9,12,20,2024-04,2024-03,Qatar
2024-04-01,Fixed Broadband,48,279.63,180.62,12,12,21,2024-04,2024-03,Netherlands
2024-04-01,Fixed Broadband,54,259.63,114.72,12,15,22,2024-04,2024-03,Portugal
2024-04-01,Fixed Broadband,29,258.31,280.12,7,12,23,2024-04,2024-03,Andorra
2024-04-01,Fixed Broadband,5,252.31,149.07,15,18,24,2024-04,2024-03,New Zealand
2024-04-01,Fixed Broadband,118,250.11,148.48,12,14,25,2024-04,2024-03,Luxembourg
2024-04-01,Fixed Broadband,2,245.85,87.92,16,17,26,2024-04,2024-03,Poland
2024-04-01,Fixed Broadband,82,241.88,221.96,10,10,27,2024-04,2024-03,Moldova
2024-04-01,Fixed Broadband,6,239.18,202.44,12,11,28,2024-04,2024-03,Sweden
2024-04-01,Fixed Broadband,149,238.88,210.87,5,10,29,2024-04,2024-03,Macau (SAR)
2024-04-01,Fixed Broadband,77,230.29,195.44,11,15,30,2024-04,2024-03,Lithuania
2024-04-01,Fixed Broadband,107,228.23,40.78,12,18,31,2024-04,2024-03,Malta
2024-04-01,Fixed Broadband,13,226.65,139.00,12,18,32,2024-04,2024-03,Brazil
2024-04-01,Fixed Broadband,103,225.50,46.35,13,17,33,2024-04,2024-03,Uruguay
2024-04-01,Fixed Broadband,98,223.03,161.87,8,9,34,2024-04,2024-03,Taiwan
2024-04-01,Fixed Broadband,89,221.81,175.34,21,15,35,2024-04,2024-03,South Korea
2024-04-01,Fixed Broadband,39,220.44,195.08,16,20,36,2024-04,2024-03,Latvia
2024-04-01,Fixed Broadband,57,220.05,190.95,13,13,37,2024-04,2024-03,Norway
2024-04-01,Fixed Broadband,60,217.90,74.95,14,19,38,2024-04,2024-03,Panama
2024-04-01,Fixed Broadband,90,217.08,192.36,6,9,39,2024-04,2024-03,Vietnam
2024-04-01,Fixed Broadband,191,217.07,91.92,12,12,40,2024-04,2024-03,San Marino
2024-04-01,Fixed Broadband,33,216.79,112.43,16,14,41,2024-04,2024-03,Finland
2024-04-01,Fixed Broadband,51,212.76,162.25,14,21,42,2024-04,2024-03,Peru
2024-04-01,Fixed Broadband,86,211.70,44.52,23,23,43,2024-04,2024-03,Kuwait
2024-04-01,Fixed Broadband,3,209.83,119.25,20,17,44,2024-04,2024-03,Italy
2024-04-01,Fixed Broadband,49,206.06,46.60,16,19,45,2024-04,2024-03,Ireland
2024-04-01,Fixed Broadband,24,205.71,145.54,16,24,46,2024-04,2024-03,Colombia
2024-04-01,Fixed Broadband,71,205.65,55.63,17,17,47,2024-04,2024-03,Belgium
2024-04-01,Fixed Broadband,38,202.56,68.57,13,18,48,2024-04,2024-03,Slovenia
2024-04-01,Fixed Broadband,26,202.41,102.51,12,15,49,2024-04,2024-03,Malaysia
2024-04-01,Fixed Broadband,4,200.80,79.08,19,15,50,2024-04,2024-03,United Kingdom
2024-04-01,Fixed Broadband,25,200.53,86.77,15,18,51,2024-04,2024-03,Slovakia
2024-04-01,Fixed Broadband,94,198.05,167.36,9,11,52,2024-04,2024-03,Jordan
2024-04-01,Fixed Broadband,10,171.11,162.41,14,22,53,2024-04,2024-03,Philippines
2024-04-01,Fixed Broadband,27,169.81,45.80,18,16,54,2024-04,2024-03,Germany
2024-04-01,Fixed Broadband,167,168.32,34.43,43,26,55,2024-04,2024-03,Saint Lucia
2024-04-01,Fixed Broadband,20,167.49,41.49,16,14,56,2024-04,2024-03,Austria
2024-04-01,Fixed Broadband,68,166.50,129.67,9,13,57,2024-04,2024-03,Barbados
2024-04-01,Fixed Broadband,53,162.28,70.40,19,19,58,2024-04,2024-03,Saudi Arabia
2024-04-01,Fixed Broadband,30,162.18,86.74,18,19,59,2024-04,2024-03,Croatia
2024-04-01,Fixed Broadband,70,152.46,111.56,11,16,60,2024-04,2024-03,Bulgaria
2024-04-01,Fixed Broadband,56,151.63,137.63,11,20,61,2024-04,2024-03,Ecuador
2024-04-01,Fixed Broadband,83,150.78,86.86,16,19,62,2024-04,2024-03,Czechia
2024-04-01,Fixed Broadband,67,149.80,82.99,17,18,63,2024-04,2024-03,Trinidad and Tobago
2024-04-01,Fixed Broadband,225,149.27,61.24,15,21,64,2024-04,2024-03,Serbia
2024-04-01,Fixed Broadband,41,145.49,81.03,21,32,65,2024-04,2024-03,Argentina
2024-04-01,Fixed Broadband,14,145.34,140.34,10,12,66,2024-04,2024-03,Russia
2024-04-01,Fixed Broadband,84,142.24,66.15,15,18,67,2024-04,2024-03,Cyprus
2024-04-01,Fixed Broadband,8,141.54,139.44,10,17,68,2024-04,2024-03,Ukraine
2024-04-01,Fixed Broadband,224,141.42,32.10,13,18,69,2024-04,2024-03,Montenegro
2024-04-01,Fixed Broadband,160,141.10,63.53,17,27,70,2024-04,2024-03,Guyana
2024-04-01,Fixed Broadband,131,136.89,42.03,18,24,71,2024-04,2024-03,Saint Vincent and the Grenadines
2024-04-01,Fixed Broadband,157,134.97,65.28,15,18,72,2024-04,2024-03,Grenada
2024-04-01,Fixed Broadband,35,132.68,100.36,16,19,73,2024-04,2024-03,Costa Rica
2024-04-01,Fixed Broadband,112,132.25,65.40,45,24,74,2024-04,2024-03,Dominica
2024-04-01,Fixed Broadband,18,129.66,30.64,21,20,75,2024-04,2024-03,Australia
2024-04-01,Fixed Broadband,19,128.57,106.42,12,17,76,2024-04,2024-03,Estonia
2024-04-01,Fixed Broadband,92,123.84,55.65,25,23,77,2024-04,2024-03,Oman
2024-04-01,Fixed Broadband,111,123.47,41.45,15,21,78,2024-04,2024-03,Paraguay
2024-04-01,Fixed Broadband,145,120.80,81.60,9,16,79,2024-04,2024-03,Brunei
2024-04-01,Fixed Broadband,120,116.04,31.73,14,21,80,2024-04,2024-03,Côte d'Ivoire
2024-04-01,Fixed Broadband,80,112.81,73.08,14,24,81,2024-04,2024-03,Belarus
2024-04-01,Fixed Broadband,96,111.58,62.64,9,13,82,2024-04,2024-03,Bahrain
2024-04-01,Fixed Broadband,72,110.46,59.80,24,24,83,2024-04,2024-03,The Bahamas
2024-04-01,Fixed Broadband,135,109.12,48.20,15,20,84,2024-04,2024-03,Albania
2024-04-01,Fixed Broadband,16,107.36,61.18,17,25,85,2024-04,2024-03,Mexico
2024-04-01,Fixed Broadband,66,104.45,73.40,19,24,86,2024-04,2024-03,Jamaica
2024-04-01,Fixed Broadband,105,102.86,94.59,9,15,87,2024-04,2024-03,Armenia
2024-04-01,Fixed Broadband,259,101.81,44.71,11,14,88,2024-04,2024-03,Kosovo
2024-04-01,Fixed Broadband,42,98.69,38.42,18,23,89,2024-04,2024-03,Turkey
2024-04-01,Fixed Broadband,11,94.91,88.09,14,22,90,2024-04,2024-03,India
2024-04-01,Fixed Broadband,125,93.75,73.90,9,24,91,2024-04,2024-03,Nepal
2024-04-01,Fixed Broadband,81,93.51,86.65,21,28,92,2024-04,2024-03,Kazakhstan
