Aggregate_Date,Platform,Country_ID,Download_MBPS,Upload_MBPS,Latency_MS,Jitter,Rank,Month,PrevMonth,Country_Name
2024-04-01,Mobile,136,472.18,36.38,23,13,1,2024-04,2024-03,Qatar
2024-04-01,Mobile,95,439.73,36.08,24,16,2,2024-04,2024-03,United Arab Emirates
2024-04-01,Mobile,89,294.53,27.87,38,20,3,2024-04,2024-03,South Korea
2024-04-01,Mobile,79,284.29,33.55,22,11,4,2024-04,2024-03,Iceland
2024-04-01,Mobile,86,283.98,30.36,21,16,5,2024-04,2024-03,Kuwait
2024-04-01,Mobile,149,243.42,49.12,21,17,6,2024-04,2024-03,Macau (SAR)
2024-04-01,Mobile,12,243.28,29.72,22,12,7,2024-04,2024-03,Denmark
2024-04-01,Mobile,1,232.83,18.24,36,26,8,2024-04,2024-03,United States
2024-04-01,Mobile,57,219.80,32.76,28,13,9,2024-04,2024-03,Norway
2024-04-01,Mobile,53,217.42,22.35,34,26,10,2024-04,2024-03,Saudi Arabia
2024-04-01,Mobile,96,214.95,22.99,20,18,11,2024-04,2024-03,Bahrain
2024-04-01,Mobile,54,200.22,25.06,25,15,12,2024-04,2024-03,Portugal
2024-04-01,Mobile,17,197.24,23.80,21,17,13,2024-04,2024-03,Singapore
2024-04-01,Mobile,70,196.03,27.92,25,15,14,2024-04,2024-03,Bulgaria
2024-04-01,Mobile,26,193.83,29.19,29,23,15,2024-04,2024-03,Malaysia
2024-04-01,Mobile,88,187.82,33.93,40,46,16,2024-04,2024-03,China
2024-04-01,Mobile,13,182.58,21.74,32,22,17,2024-04,2024-03,Brazil
2024-04-01,Mobile,6,179.01,26.23,27,14,18,2024-04,2024-03,Sweden
2024-04-01,Mobile,11,178.98,16.76,37,32,19,2024-04,2024-03,India
2024-04-01,Mobile,30,175.60,25.74,24,19,20,2024-04,2024-03,Croatia
2024-04-01,Mobile,84,174.70,26.52,21,18,21,2024-04,2024-03,Cyprus
2024-04-01,Mobile,28,173.08,16.20,34,21,22,2024-04,2024-03,France
2024-04-01,Mobile,45,170.97,30.15,23,17,23,2024-04,2024-03,Switzerland
2024-04-01,Mobile,77,170.96,23.11,23,17,24,2024-04,2024-03,Lithuania
2024-04-01,Mobile,52,170.12,33.45,21,13,25,2024-04,2024-03,North Macedonia
2024-04-01,Mobile,103,169.57,20.44,29,22,26,2024-04,2024-03,Uruguay
2024-04-01,Mobile,33,165.54,23.37,23,13,27,2024-04,2024-03,Finland
2024-04-01,Mobile,19,163.45,21.70,23,16,28,2024-04,2024-03,Estonia
2024-04-01,Mobile,22,162.53,23.61,27,26,29,2024-04,2024-03,Greece
2024-04-01,Mobile,18,155.08,16.35,27,20,30,2024-04,2024-03,Australia
2024-04-01,Mobile,5,154.38,20.00,35,20,31,2024-04,2024-03,New Zealand
2024-04-01,Mobile,7,151.89,20.48,30,20,32,2024-04,2024-03,Canada
2024-04-01,Mobile,48,149.01,29.38,24,14,33,2024-04,2024-03,Netherlands
2024-04-01,Mobile,39,149.00,18.13,21,17,34,2024-04,2024-03,Latvia
2024-04-01,Mobile,145,148.24,38.62,17,7,35,2024-04,2024-03,Brunei
2024-04-01,Mobile,107,147.84,25.27,20,15,36,2024-04,2024-03,Malta
2024-04-01,Mobile,118,144.98,20.68,26,14,37,2024-04,2024-03,Luxembourg
2024-04-01,Mobile,98,144.30,23.86,23,18,38,2024-04,2024-03,Taiwan
2024-04-01,Mobile,71,143.65,20.83,29,16,39,2024-04,2024-03,Belgium
2024-04-01,Mobile,92,135.02,19.79,28,23,40,2024-04,2024-03,Oman
2024-04-01,Mobile,15,133.90,19.96,37,23,41,2024-04,2024-03,Spain
2024-04-01,Mobile,168,131.49,25.17,25,19,42,2024-04,2024-03,Maldives
2024-04-01,Mobile,38,129.41,18.41,21,17,43,2024-04,2024-03,Slovenia
2024-04-01,Mobile,134,124.62,28.57,19,18,44,2024-04,2024-03,Mauritius
2024-04-01,Mobile,27,123.66,20.96,31,20,45,2024-04,2024-03,Germany
2024-04-01,Mobile,2,122.82,18.55,29,20,46,2024-04,2024-03,Poland
2024-04-01,Mobile,91,120.48,22.85,23,24,47,2024-04,2024-03,Hong Kong (SAR)
2024-04-01,Mobile,20,116.83,21.70,25,15,48,2024-04,2024-03,Austria
2024-04-01,Mobile,83,115.99,30.32,24,14,49,2024-04,2024-03,Czechia
2024-04-01,Mobile,259,115.63,21.00,22,14,50,2024-04,2024-03,Kosovo
2024-04-01,Mobile,4,113.46,14.27,38,25,51,2024-04,2024-03,United Kingdom
2024-04-01,Mobile,204,112.50,22.95,32,32,52,2024-04,2024-03,Ethiopia
2024-04-01,Mobile,61,105.40,16.40,26,30,53,2024-04,2024-03,Dominican Republic
2024-04-01,Mobile,81,104.82,20.43,30,30,54,2024-04,2024-03,Kazakhstan
2024-04-01,Mobile,32,103.21,15.07,29,26,55,2024-04,2024-03,Israel
2024-04-01,Mobile,224,101.82,24.42,20,16,56,2024-04,2024-03,Montenegro
2024-04-01,Mobile,3,101.61,15.81,38,23,57,2024-04,2024-03,Italy
2024-04-01,Mobile,46,101.20,14.05,30,25,58,2024-04,2024-03,South Africa
2024-04-01,Mobile,34,99.38,23.11,26,18,59,2024-04,2024-03,Hungary
2024-04-01,Mobile,9,97.85,21.68,26,22,60,2024-04,2024-03,Romania
2024-04-01,Mobile,36,97.07,24.25,31,18,61,2024-04,2024-03,Guatemala
2024-04-01,Mobile,49,97.07,15.51,30,26,62,2024-04,2024-03,Ireland
2024-04-01,Mobile,25,91.90,20.01,22,13,63,2024-04,2024-03,Slovakia
2024-04-01,Mobile,23,87.83,19.40,30,25,64,2024-04,2024-03,Thailand
2024-04-01,Mobile,185,87.06,18.13,34,17,65,2024-04,2024-03,Botswana
2024-04-01,Mobile,78,86.02,13.77,43,28,66,2024-04,2024-03,Japan
2024-04-01,Mobile,156,82.83,17.25,27,22,67,2024-04,2024-03,Senegal
2024-04-01,Mobile,40,79.66,18.61,33,30,68,2024-04,2024-03,Chile
2024-04-01,Mobile,176,77.37,22.40,20,13,69,2024-04,2024-03,Suriname
2024-04-01,Mobile,59,74.43,16.59,45,48,70,2024-04,2024-03,Nigeria
2024-04-01,Mobile,10,73.23,10.91,26,29,71,2024-04,2024-03,Philippines
2024-04-01,Mobile,135,72.78,18.15,23,20,72,2024-04,2024-03,Albania
2024-04-01,Mobile,173,72.56,17.81,27,28,73,2024-04,2024-03,Uganda
2024-04-01,Mobile,198,71.92,16.46,59,37,74,2024-04,2024-03,Zimbabwe
2024-04-01,Mobile,225,67.72,20.82,23,22,75,2024-04,2024-03,Serbia
2024-04-01,Mobile,42,67.01,20.21,30,16,76,2024-04,2024-03,Turkey
2024-04-01,Mobile,100,64.41,15.84,28,23,77,2024-04,2024-03,Uzbekistan
2024-04-01,Mobile,110,64.08,19.16,24,17,78,2024-04,2024-03,Azerbaijan
2024-04-01,Mobile,16,63.06,17.19,53,31,79,2024-04,2024-03,Mexico
2024-04-01,Mobile,90,62.54,22.20,26,16,80,2024-04,2024-03,Vietnam
2024-04-01,Mobile,160,62.50,17.55,24,29,81,2024-04,2024-03,Guyana
2024-04-01,Mobile,24,61.11,15.55,39,36,82,2024-04,2024-03,Colombia
2024-04-01,Mobile,101,60.62,16.04,29,26,83,2024-04,2024-03,Morocco
